,name,lat,temp,humidity,cloudiness,wind_speed
501,Bratsk,56.15,-22.01,67,40,2.24
502,Kontagora,10.4,71.3,33,0,10.67
503,Galle,29.74,59.99,96,90,5.82
504,Sangmelima,2.93,69.37,95,80,2.17
505,Port Blair,11.67,84.67,97,68,9.33
506,Oyama,36.31,55.4,76,75,5.82
507,Namie,37.52,54.63,76,75,18.34
508,Semirom,31.41,26.3,91,32,3.62
509,Ust-Ilimsk,57.96,-21.63,63,36,5.97
510,Ukiah,39.15,48.02,79,1,1.16
511,Dudinka,69.41,-13.3,63,0,10.89
512,Geraldton,49.72,-5.81,76,75,3.36
513,Port Said,25.34,43.09,81,0,2.84
514,Sayyan,15.17,43.09,100,0,2.39
515,Los Llanos de Aridane,28.66,73.4,28,20,11.41
516,Hohhot,40.81,-0.41,33,0,2.24
517,Finschhafen,-6.6,78.64,94,44,1.72
518,Severo-Kurilsk,50.68,31.66,100,88,8.66
519,Corn Island,12.17,83.54,96,24,19.28
520,Tommot,58.97,-23.34,33,64,4.97
521,Kununurra,-15.77,105.8,30,0,8.05
522,Comodoro Rivadavia,-45.87,64.46,69,0,9.55
523,Oneida,41.07,21.06,74,1,5.82
524,Nakamura,35.17,59.0,62,75,13.87
525,Iracoubo,5.48,74.99,97,92,4.52
526,Garissa,-0.46,72.61,96,92,3.51
